"Checkout with Payson","Betala med Payson"
"You will be redirected to Payson's website.","Du kommer att skickas vidare till Paysons webbplats"

"Checkout with Payson invoice %s invoice fee","Betala med Payson faktura %s fakturaavgift"
"Invoice fee","Fakturaavgift"
"If you choose to pay by Paysoninvoice so there is a fee. Payment terms are 10 days and the invoice will be sent separately by email to the email address you specify. To pay by Paysoninvoice You must be 18 years old and be registered in Sweden as well as authorized in the credit assessment carried out at purchase.", "Om du väljer att betala med Paysonfaktura så tillkommer ovanstående avgift. Betalningsvillkor är 10 dagar och fakturan kommer att sändas separat med e-post till den e-postadress Du anger. För att betala mot Paysonfaktura måste Du ha fyllt 18 år och vara folkbokförd i Sverige samt godkännas i den kreditprövning som genomförs vid köpet."
"The payment was denied by Payson. Please, try a different payment method", "Betalningen blev nekad. Vänligen, försök med en annan betalningsmetod."
"Something went wrong with the payment. Please, try a different payment method", "Något gick fel med betalningen. Vänligen, försök en annan betalningsmetod."

"Order was activated at Payson","Order aktiverades hos Payson"
"Payment was credited at Payson","Betalningen krediterades hos Payson"
"Order was canceled at Payson","Beställningen avbröts hos Payson"

"Payson is not ready to create an invoice. Please try again later.","Payson är inte redo att skapa en faktura. Försök igen senare."
"Payson is not ready to cancel the order. Please try again later.","Payson är inte redo att avbryta beställningen. Försök igen senare."

"Order from %s","Order från %s"
"No description","Ingen beskrivning"
"Failed to initialize payment. Payson replied: %s","Misslyckades med att initiera betalning. Payson svarade med: %s"
"Failed to retrieve payment details. Payson replied: %s","Misslyckades med att hämta betalningsdetaljer. Payson svarade med: %s"
"Failed to update payment. Payson replied: %s","Misslyckades med att uppdatera betalning. Payson svarade med: %s"
"The customer was redirected to Payson","Kunden omdirigerades till Payson"
"Payson completed the order payment","Payson färdigställde betalningen"
"Payson created an invoice","Payson skapade en faktura"
"Payson updated the shipping address","Payson uppdaterade leveransadressen"
"Payson pinged the order with status %s","Payson pingade ordern med status: %s"
"Payson cancelled the order with status %s","Payson avbröt ordern med status: %s"

"Enabled","Aktiverad"
"Enable/disable payment with Payson.","Aktivera eller inaktivera betalning med Payson."
"Email","E-post"
"Email address bound to your Payson account.","E-postadress för ditt Paysonkonto."
"Agent ID","Agent ID"
"Agent ID is found on your Payson profile page.","Logga in på Paysons webbplats för att hämta ditt Agent ID."
"MD5 key","MD5-nyckel"
"MD5 key is found on your Payson profile page.","Logga in på Paysons webbplats för att hämta din MD5-nyckel."
"Enable payment guarantee","Aktivera Paysongaranti"
"Enable/disable payment guarantee.","Aktivera eller inaktivera Paysongaranti."

"Payson invoice","Payson faktura"
"Enable/disable invoice payment with Payson.","Aktivera eller inaktivera faktura med Payson."
"Invoice fee tax","Momsklass för fakturaavgift"
"Tax class for invoice fees.","Momsklass för fakturaavgift."
"Invoice fee (SEK)","Fakturaavgift (SEK)"
"Invoice fee for SEK excluding tax.","Fakturaavgift för SEK utan moms."
"Invoice fee (EUR)","Fakturaavgift (EUR)"
"Invoice fee for EUR excluding tax.","Fakturaavgift för EUR utan moms."
"Enable/disable test mode.","Slå på/av testläge"
"Enable this to send Payson invoice to customer instantly after purchase. Disabling this means you have to mark the goods as Shipped in Admin to activate the invoice","Aktivera detta för att skicka Payson-fakturan direkt när ett köp accepterats. Stängs denna funktion av måste ordern markeras som Skickad i Magento Admin eller Payson Admin"

